a,b,k,f_coefs,test_name,alg,time
1,100,65,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001285076141357422
1,100,65,"[5, -1, 1, -5, -3, 3]",normal,4,6.175041198730469e-05
1,1000,65,"[5, -1, 1, -5, -3, 3]",big b,3,0.004989147186279297
1,1000,65,"[5, -1, 1, -5, -3, 3]",big b,4,0.00016260147094726562
1,100,66,"[5, -1, 1, -5, -3, 3]",normal,3,0.0004279613494873047
1,100,66,"[5, -1, 1, -5, -3, 3]",normal,4,8.988380432128906e-05
1,1000,66,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012698173522949219
1,1000,66,"[5, -1, 1, -5, -3, 3]",big b,4,9.512901306152344e-05
1,100,67,"[5, -1, 1, -5, -3, 3]",normal,3,0.00041413307189941406
1,100,67,"[5, -1, 1, -5, -3, 3]",normal,4,0.00011181831359863281
1,1000,67,"[5, -1, 1, -5, -3, 3]",big b,3,0.0016794204711914062
1,1000,67,"[5, -1, 1, -5, -3, 3]",big b,4,0.000118255615234375
1,100,68,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001327991485595703
1,100,68,"[5, -1, 1, -5, -3, 3]",normal,4,5.7697296142578125e-05
1,1000,68,"[5, -1, 1, -5, -3, 3]",big b,3,0.0013453960418701172
1,1000,68,"[5, -1, 1, -5, -3, 3]",big b,4,0.000110626220703125
1,100,69,"[5, -1, 1, -5, -3, 3]",normal,3,0.00011157989501953125
1,100,69,"[5, -1, 1, -5, -3, 3]",normal,4,0.0001423358917236328
1,1000,69,"[5, -1, 1, -5, -3, 3]",big b,3,0.0024368762969970703
1,1000,69,"[5, -1, 1, -5, -3, 3]",big b,4,7.867813110351562e-05
1,100,70,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012874603271484375
1,100,70,"[5, -1, 1, -5, -3, 3]",normal,4,5.817413330078125e-05
1,1000,70,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012004375457763672
1,1000,70,"[5, -1, 1, -5, -3, 3]",big b,4,7.176399230957031e-05
1,100,71,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012874603271484375
1,100,71,"[5, -1, 1, -5, -3, 3]",normal,4,7.271766662597656e-05
1,1000,71,"[5, -1, 1, -5, -3, 3]",big b,3,0.002257108688354492
1,1000,71,"[5, -1, 1, -5, -3, 3]",big b,4,0.000102996826171875
1,100,72,"[5, -1, 1, -5, -3, 3]",normal,3,0.00041484832763671875
1,100,72,"[5, -1, 1, -5, -3, 3]",normal,4,0.00015926361083984375
1,1000,72,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012366771697998047
1,1000,72,"[5, -1, 1, -5, -3, 3]",big b,4,7.891654968261719e-05
1,100,73,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012826919555664062
1,100,73,"[5, -1, 1, -5, -3, 3]",normal,4,7.462501525878906e-05
1,1000,73,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012362003326416016
1,1000,73,"[5, -1, 1, -5, -3, 3]",big b,4,8.153915405273438e-05
1,100,74,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012874603271484375
1,100,74,"[5, -1, 1, -5, -3, 3]",normal,4,7.200241088867188e-05
1,1000,74,"[5, -1, 1, -5, -3, 3]",big b,3,0.0035774707794189453
1,1000,74,"[5, -1, 1, -5, -3, 3]",big b,4,8.106231689453125e-05
1,100,75,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001304149627685547
1,100,75,"[5, -1, 1, -5, -3, 3]",normal,4,6.341934204101562e-05
1,1000,75,"[5, -1, 1, -5, -3, 3]",big b,3,0.003656625747680664
1,1000,75,"[5, -1, 1, -5, -3, 3]",big b,4,9.942054748535156e-05
1,100,76,"[5, -1, 1, -5, -3, 3]",normal,3,0.0003368854522705078
1,100,76,"[5, -1, 1, -5, -3, 3]",normal,4,0.00010657310485839844
1,1000,76,"[5, -1, 1, -5, -3, 3]",big b,3,0.001201629638671875
1,1000,76,"[5, -1, 1, -5, -3, 3]",big b,4,7.867813110351562e-05
1,100,77,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001289844512939453
1,100,77,"[5, -1, 1, -5, -3, 3]",normal,4,6.198883056640625e-05
1,1000,77,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012044906616210938
1,1000,77,"[5, -1, 1, -5, -3, 3]",big b,4,0.0001010894775390625
1,100,78,"[5, -1, 1, -5, -3, 3]",normal,3,0.00018334388732910156
1,100,78,"[5, -1, 1, -5, -3, 3]",normal,4,0.00014591217041015625
1,1000,78,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012161731719970703
1,1000,78,"[5, -1, 1, -5, -3, 3]",big b,4,7.82012939453125e-05
1,100,79,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001289844512939453
1,100,79,"[5, -1, 1, -5, -3, 3]",normal,4,6.318092346191406e-05
1,1000,79,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012013912200927734
1,1000,79,"[5, -1, 1, -5, -3, 3]",big b,4,7.867813110351562e-05
1,100,80,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012874603271484375
1,100,80,"[5, -1, 1, -5, -3, 3]",normal,4,6.270408630371094e-05
1,1000,80,"[5, -1, 1, -5, -3, 3]",big b,3,0.0032813549041748047
1,1000,80,"[5, -1, 1, -5, -3, 3]",big b,4,0.00010657310485839844
1,100,81,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010633468627929688
1,100,81,"[5, -1, 1, -5, -3, 3]",normal,4,0.00015664100646972656
1,1000,81,"[5, -1, 1, -5, -3, 3]",big b,3,0.0021698474884033203
1,1000,81,"[5, -1, 1, -5, -3, 3]",big b,4,0.0002117156982421875
1,100,82,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010561943054199219
1,100,82,"[5, -1, 1, -5, -3, 3]",normal,4,5.507469177246094e-05
1,1000,82,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011782646179199219
1,1000,82,"[5, -1, 1, -5, -3, 3]",big b,4,5.650520324707031e-05
1,100,83,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,83,"[5, -1, 1, -5, -3, 3]",normal,4,5.1975250244140625e-05
1,1000,83,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012023448944091797
